Target,Learner,R2_Y,AUC_D,Composite
ln_MIVA,RF,0.8756003698921507,1,0.9378001849460753
ln_MIVA,Lasso,0.5663625409875411,1,0.7831812704937706
ln_MIVA,Ridge,0.5362593801029151,1,0.7681296900514576
ln_DCM,RF,0.8640746466887657,1,0.9320373233443828
ln_DCM,Lasso,0.6311058969074433,1,0.8155529484537216
ln_DCM,Ridge,0.6038136986866551,1,0.8019068493433276
ln_GFCFM,RF,0.9677840403512041,1,0.9838920201756021
ln_GFCFM,Lasso,0.9285435451150741,1,0.964271772557537
ln_GFCFM,Ridge,0.9197370324699141,1,0.9598685162349571
ln_MFDI,RF,0.9723090195374389,1,0.9861545097687194
ln_MFDI,Lasso,0.9201609886359252,1,0.9600804943179626
ln_MFDI,Ridge,0.9056994345748134,1,0.9528497172874066
