"Outcome","N_subgroups","Mean_Effect","SD_Effect","Min_Effect","Max_Effect","Range","Significant_Results"
"ln_DCM",4,1.83554040244575,1.79186326846017,0.717310880063999,4.48753436120967,3.77022348114567,2
"ln_GFCFM",4,0.727359112098905,0.550761209023593,-0.0738467066081068,1.18254493279585,1.25639163940396,2
"ln_MFDI",4,2.27335829388119,0.730048830698167,1.42092379155201,3.18151876642279,1.76059497487078,2
"ln_MIVA",4,1.26141826134781,0.689536291433524,0.534909500096307,2.13709195384598,1.60218245374967,2
