"high_baseline_capacity","N_obs","N_countries","Mean_ln_MIVA","Mean_PPP_T","Mean_GB_T"
0,48,6,-2.3251232156875,23309.2708333333,4373.54583333333
1,112,14,-1.89474278576786,29509.0892857143,19556.3125
