
Target,Learner,R2_Y,AUC_D,Composite,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper,CF_SD
ln_MIVA,Lasso,0.45472759782880273,0.8557598039215687,0.6552437008751857,0.13269486164635025,0.13465197061239687,0.3243955058684571,-0.1312230007539476,0.3966127240466481,0.09162375126047889
ln_DCM,Lasso,0.6231683476520891,0.8546457219251338,0.7389070347886114,0.04335754941490437,0.20898985356392924,0.8356487063963665,-0.36626256357039694,0.4529776624002057,0.1678525270855502
ln_GFCFM,Ridge,0.8537687974152472,0.8491198752228165,0.8514443363190318,-0.22368788517878838,0.2828851786685832,0.4290972579520318,-0.7781428353692115,0.3307670650116348,0.12968081755462119
ln_MFDI,Lasso,0.8921781631830612,0.8505681818181818,0.8713731725006215,-0.09028028099243576,0.293865540718592,0.7586787475574819,-0.666256740800876,0.48569617881600446,0.3118382611538342
