Target,Learner,R2_Y,AUC_D,Composite
ln_MIVA,RF,NA,NA,NA
ln_MIVA,Lasso,NA,NA,NA
ln_MIVA,Ridge,NA,NA,NA
ln_DCM,RF,NA,NA,NA
ln_DCM,Lasso,NA,NA,NA
ln_DCM,Ridge,NA,NA,NA
ln_GFCFM,RF,NA,NA,NA
ln_GFCFM,Lasso,NA,NA,NA
ln_GFCFM,Ridge,NA,NA,NA
ln_MFDI,RF,NA,NA,NA
ln_MFDI,Lasso,NA,NA,NA
ln_MFDI,Ridge,NA,NA,NA
