Target,Learner,R2_Y,AUC_D,Composite
ln_MIVA,Lasso,0.5788460962183615,0.13035714285714284,0.35460161953775216
ln_MIVA,Ridge,0.6088271994793486,0.787797619047619,0.6983124092634838
ln_DCM,Lasso,0.6509353901774471,0.13035714285714284,0.39064626651729495
ln_DCM,Ridge,0.6670085847383187,0.7888392857142856,0.7279239352263022
ln_GFCFM,Lasso,0.9286662271544712,0.13035714285714284,0.529511685005807
ln_GFCFM,Ridge,0.9291681944655314,0.7928571428571429,0.8610126686613372
ln_MFDI,Lasso,0.9087176678278981,0.13035714285714284,0.5195374053425205
ln_MFDI,Ridge,0.9167330273215232,0.7941964285714286,0.8554647279464759
