Target,Best_Method,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper,MSE,MAE,RMSE,CV_MSE,CV_MAE
ln_MIVA,DML (Random Forest),0.23919383438170014,0.07300641677628385,0.0010516192564307136,0.0961012575001838,0.3822864112632165,0.005875532222917505,0.04890169131726996,0.07665202034465565,0.005875532222917505,0.04890169131726996
ln_DCM,DML (Random Forest),0.3955317158508469,0.23081240005439063,0.0865929878258016,-0.05686058825575874,0.8479240199574525,0.03922287698995699,0.12367872386982176,0.19804766342968297,0.03922287698995699,0.12367872386982176
ln_GFCFM,DML (Random Forest),0.2398833407734616,0.11111076200019109,0.030853514682251504,0.022106247253087075,0.4576604342938361,0.03479494604891141,0.1346601490075734,0.1865340345591426,0.03479494604891141,0.1346601490075734
ln_MFDI,DML (Random Forest),0.9475663872568888,0.2914969843884091,0.0011512523709182876,0.37623229785560697,1.5189004766581706,0.04262419331961365,0.1424471797263001,0.20645627459492155,0.04262419331961365,0.1424471797263001
