Target,Method,MSE,MAE,RMSE,CV_MSE,CV_MAE,CV_RMSE,R_squared,Adj_R_squared,AIC,BIC
ln_MIVA,DML (Random Forest),0.005875532222917505,0.04890169131726996,0.07665202034465565,0.005875532222917505,0.04890169131726996,0.07665202034465565,NA,NA,NA,NA
ln_MIVA,DML (Lasso),0.3268409353359207,0.423541521332138,0.5717000396500954,0.3268409353359207,0.423541521332138,0.5717000396500954,NA,NA,NA,NA
ln_MIVA,DML (Ridge),0.3325536655983969,0.42761611551625195,0.5766746618314323,0.3325536655983969,0.42761611551625195,0.5766746618314323,NA,NA,NA,NA
ln_DCM,DML (Random Forest),0.03922287698995699,0.12367872386982176,0.19804766342968297,0.03922287698995699,0.12367872386982176,0.19804766342968297,NA,NA,NA,NA
ln_DCM,DML (Lasso),0.6097013974979582,0.6220518168723591,0.780833783527556,0.6097013974979582,0.6220518168723591,0.780833783527556,NA,NA,NA,NA
ln_DCM,DML (Ridge),0.6147003546534064,0.638222277314848,0.7840282868962104,0.6147003546534064,0.638222277314848,0.7840282868962104,NA,NA,NA,NA
ln_GFCFM,DML (Random Forest),0.03479494604891141,0.1346601490075734,0.1865340345591426,0.03479494604891141,0.1346601490075734,0.1865340345591426,NA,NA,NA,NA
ln_GFCFM,DML (Lasso),1.9397998120015945,1.0930881248843016,1.392766962561072,1.9397998120015945,1.0930881248843016,1.392766962561072,NA,NA,NA,NA
ln_GFCFM,DML (Ridge),1.9292015005739451,1.1102900185198075,1.3889569829818147,1.9292015005739451,1.1102900185198075,1.3889569829818147,NA,NA,NA,NA
ln_MFDI,DML (Random Forest),0.04262419331961365,0.1424471797263001,0.20645627459492155,0.04262419331961365,0.1424471797263001,0.20645627459492155,NA,NA,NA,NA
ln_MFDI,DML (Lasso),2.3774516974528606,1.2069263483280772,1.5418987312572965,2.3774516974528606,1.2069263483280772,1.5418987312572965,NA,NA,NA,NA
ln_MFDI,DML (Ridge),2.402854212552318,1.201527931918107,1.5501142579024032,2.402854212552318,1.201527931918107,1.5501142579024032,NA,NA,NA,NA
