"treated","N_obs","N_countries","PPP_T_mean","PPP_T_median","PPP_T_sd","PPP_I_mean","PPP_I_median","PPP_I_sd","GB_T_mean","GB_T_median","GB_T_sd","GB_I_mean","GB_I_median","GB_I_sd"
0,88,11,0,0,0,0,0,0,0,0,0,0,0,0
1,160,20,27649.14375,7050,40831.9546208799,10067.9525,1920,15240.4876905822,15001.4825,762,32679.0891938494,5807.5375,116,17397.8998956328
