Country,Year,PPP_T,PPP_I,GB_T,GB_I,MIVA,DCM,GFCFM,MFDI,treated,control,country_num,ln_PPP_T,ln_PPP_I,ln_GB_T,ln_GB_I,ln_MIVA,ln_DCM,ln_GFCFM,ln_MFDI
Ghana,2022,1300,390,0,0,0.1018,0.093,2210,352,1,0,9,7.170120239,5.96614933,-6.907755375,-6.907755375,-2.274969816,-2.364460468,7.700748444,5.863634109
India,2015,30000,11600,305,100,0.154,0.127,351622,2570,1,0,10,10.30895233,9.358760834,5.72031498,4.605180264,-1.864330173,-2.055725098,12.77031231,7.851661682
India,2016,35000,13400,633,300,0.149,0.119,380214,21500,1,0,10,10.46310329,9.503009796,6.450471878,5.703785896,-1.897119999,-2.120263577,12.84848976,9.975808144
India,2017,42000,16100,774,400,0.146,0.111,421345,18800,1,0,10,10.64542484,9.686574936,6.651573181,5.991466999,-1.917322636,-2.18925643,12.95120716,9.841611862
India,2018,51000,19500,1187,800,0.152,0.104,463872,23500,1,0,10,10.83958054,9.878170013,7.079185009,6.684612751,-1.877317309,-2.253794909,13.04736423,10.06475544
India,2019,64000,24400,5733,3500,0.158,0.098,502143,27300,1,0,10,11.06663799,10.10233879,8.65399456,8.160518646,-1.838851094,-2.312635422,13.12664032,10.21464157
India,2020,81000,31100,4165,2200,0.163,0.093,437621,15500,1,0,10,11.30220413,10.34496307,8.334471703,7.696213245,-1.807888865,-2.364460468,12.98910809,9.64859581
India,2021,103000,40000,9458,4100,0.144,0.088,484238,20600,1,0,10,11.54248428,10.59663486,9.154616356,8.318742752,-1.931021571,-2.419118881,13.09033203,9.933046341
India,2022,128000,49700,6185,3400,0.1332,0.083,536987,24100,1,0,10,11.75978565,10.8137598,8.72988224,8.131530762,-2.008424044,-2.476938486,13.1937294,10.08996677
Japan,2015,49700,16400,6124,3110,0.216,0.841,903738,112000,1,0,11,10.8137598,9.705037117,8.719970703,8.042378426,-1.5278579,-0.17197527,13.71429443,11.62625408
Japan,2016,63200,21200,10659,5746,0.212,0.796,856923,108000,1,0,11,11.05405998,9.961756706,9.274160385,8.656259537,-1.546463132,-0.226900607,13.66110325,11.58988667
Japan,2017,84500,28100,18485,10477,0.208,0.731,885762,104000,1,0,11,11.34450722,10.24352455,9.824714661,9.256937981,-1.565420985,-0.311974764,13.69420338,11.55214596
Japan,2018,113800,37900,23867,11823,0.204,0.694,912345,101000,1,0,11,11.64219761,10.54270649,10.08025169,9.377801895,-1.584745288,-0.363843441,13.72377396,11.52287579
Japan,2019,147600,49300,46421,23593,0.2,0.66,939428,97000,1,0,11,11.90226078,10.80567932,10.74550724,10.06870556,-1.604450345,-0.414001435,13.75302601,11.4824667
Japan,2020,183200,61000,51038,25909,0.191,0.627,842432,84000,1,0,11,12.11833382,11.01862907,10.84032536,10.16234589,-1.650259852,-0.465215117,13.64404869,11.3385725
Japan,2021,222300,73500,87422,42869,0.194,0.594,897015,92000,1,0,11,12.31178284,11.20504093,11.37850189,10.66590405,-1.634755731,-0.519193888,13.70682812,11.4295435
Japan,2022,265100,86700,53540,25538,0.196,0.561,945238,1.00E+05,1,0,11,12.48786259,11.37020874,10.88818455,10.14792252,-1.624551535,-0.576253414,13.75919247,11.51292515
Kenya,2015,7500,2500,0,0,0.082,0.114,1881,414,1,0,12,8.922657967,7.824046612,-6.907755375,-6.907755375,-2.488914728,-2.1628232,7.539559364,6.025868416
Kenya,2016,8200,2800,50,0,0.08,0.111,2032,381,1,0,12,9.011889458,7.937375069,3.912043095,-6.907755375,-2.513306141,-2.18925643,7.616776466,5.942801952
Kenya,2017,9000,3100,100,0,0.078,0.108,2193,322,1,0,12,9.104979515,8.039157867,4.605180264,-6.907755375,-2.538307428,-2.216407299,7.693026066,5.774554729
Kenya,2018,9700,3400,150,0,0.076,0.106,2357,357,1,0,12,9.179881096,8.131530762,5.010642052,-6.907755375,-2.563949823,-2.234926462,7.765145302,5.877738476
Kenya,2019,10400,3700,200,0,0.074,0.103,2521,394,1,0,12,9.24956131,8.216088295,5.298322201,-6.907755375,-2.590267181,-2.263364315,7.832411289,5.976353645
Kenya,2020,11100,4000,390,190,0.068,0.098,2294,283,1,0,12,9.314700127,8.294050217,5.96614933,5.247029305,-2.673648834,-2.312635422,7.738052845,5.645450592
Kenya,2021,12200,4300,425,135,0.072,0.096,2486,312,1,0,12,9.409191132,8.366370201,6.052091599,4.905282021,-2.617295742,-2.333044291,7.818430901,5.743006229
Kenya,2022,13300,4600,285,0,0.078266,0.094,2678,365,1,0,12,9.495519638,8.433812141,5.652492523,-6.907755375,-2.534945965,-2.353878498,7.89282608,5.89989996
Liberia,2015,0,0,0,0,0.02,0.022,54,174,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.863232851,-3.772261143,3.989002466,5.159060955
Liberia,2016,0,0,0,0,0.019,0.019,47,121,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.912023067,-3.912023067,3.850168943,4.795798779
Liberia,2017,0,0,0,0,0.017,0.016,41,87,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-4.017383575,-4.074542046,3.713596344,4.465919495
Liberia,2018,0,0,0,0,0.016,0.013,36,62,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-4.074542046,-4.268697739,3.583546638,4.127150536
Liberia,2019,0,0,0,0,0.015,0.01,33,43,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-4.135166645,-4.509860039,3.496537924,3.761223316
Liberia,2020,0,0,0,0,0.013,0.007,25,28,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-4.268697739,-4.828313828,3.218915939,3.332240105
Liberia,2021,0,0,0,0,0.012,0.004,32,37,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-4.342805862,-5.298317432,3.465767145,3.610944986
Liberia,2022,0,0,0,0,0.011,0.001,39,49,0,1,13,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-4.422848701,-6.214608192,3.663587332,3.891840696
Libya,2015,0,0,0,0,0.17,0.089,1234,117,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-1.766091704,-2.407945633,7.118017197,4.762182713
Libya,2016,0,0,0,0,0.152,0.061,987,95,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-1.877317309,-2.780620813,6.894670963,4.553887367
Libya,2017,0,0,0,0,0.133,0.045,742,79,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.00991559,-3.07911396,6.609350681,4.369460583
Libya,2018,0,0,0,0,0.118,0.032,563,62,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.12863183,-3.41124773,6.333281517,4.127150536
Libya,2019,0,0,0,0,0.107,0.023,421,48,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.225624084,-3.729701519,6.042635441,3.871221781
Libya,2020,0,0,0,0,0.092,0.015,298,36,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.375155687,-4.135166645,5.697096825,3.583546638
Libya,2021,0,0,0,0,0.078,0.009,385,45,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.538307428,-4.60517025,5.953246117,3.806684732
Libya,2022,0,0,0,0,0.065,0.003,472,53,0,1,14,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.718100548,-5.52146101,6.156980991,3.970310688
Malawi,2015,0,0,0,0,0.104,0.082,242,49,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.253794909,-2.488914728,5.488941669,3.891840696
Malawi,2016,0,0,0,0,0.106,0.079,227,37,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.234926462,-2.525728703,5.424954414,3.610944986
Malawi,2017,0,0,0,0,0.102,0.076,214,28,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.273026228,-2.563949823,5.365980625,3.332240105
Malawi,2018,0,0,0,0,0.095,0.073,203,21,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.343407154,-2.603690147,5.313210964,3.044569969
Malawi,2019,0,0,0,0,0.087,0.07,195,16,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.430418491,-2.645075321,5.273004532,2.772651196
Malawi,2020,0,0,0,0,0.082,0.067,152,12,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.488914728,-2.688247681,5.023887157,2.484989882
Malawi,2021,0,0,0,0,0.08,0.064,179,15,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.513306141,-2.73336792,5.187391281,2.70811677
Malawi,2022,0,0,0,0,0.082,0.061,206,18,0,1,15,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.488914728,-2.780620813,5.327880859,2.890427351
Mexico,2015,15200,5200,650,650,0.171,0.291,57562,35100,1,0,16,9.629051208,8.556413651,6.47697401,6.47697401,-1.76026082,-1.231001496,10.96061802,10.46595669
Mexico,2016,17800,6800,1024,374,0.166,0.274,52231,32500,1,0,16,9.786953926,8.824678421,6.931472778,5.924258709,-1.789761424,-1.290984154,10.86343193,10.38899517
Mexico,2017,20400,8400,500,450,0.161,0.259,50342,30400,1,0,16,9.923290253,9.0359869,6.2146101,6.109249592,-1.820158958,-1.347073674,10.82659531,10.32219791
Mexico,2018,23000,10000,350,350,0.157,0.243,48123,27900,1,0,16,10.04324913,9.2103405,5.857935905,5.857935905,-1.845160246,-1.410587072,10.78151512,10.23638153
Mexico,2019,25600,11600,2590,1240,0.153,0.228,46213,25100,1,0,16,10.15034771,9.358760834,7.859413624,7.122867584,-1.870802641,-1.474033237,10.74101639,10.13062286
Mexico,2020,28200,13200,3600,1800,0.146,0.213,39341,21200,1,0,16,10.24707699,9.48797226,8.188689232,7.495542526,-1.917322636,-1.54177928,10.58002281,9.961756706
Mexico,2021,30800,14800,2250,1550,0.157,0.198,43782,24300,1,0,16,10.33526993,9.60238266,7.718686104,7.346010685,-1.845160246,-1.614450455,10.68697834,10.09823132
Mexico,2022,33400,16400,3310,1410,0.163,0.183,48123,26900,1,0,16,10.41631126,9.705037117,8.104703903,7.251345634,-1.807888865,-1.692819476,10.78151512,10.19988155
Morocco,2015,1820,560,0,0,0.161,0.111,4823,1342,1,0,17,7.506592274,6.327938557,-6.907755375,-6.907755375,-1.820158958,-2.18925643,8.481151581,7.201917171
Morocco,2016,1980,620,0,0,0.159,0.109,5017,1514,1,0,17,7.590852737,6.429720879,-6.907755375,-6.907755375,-1.83258152,-2.207274914,8.520587921,7.322511196
Morocco,2017,2140,700,0,0,0.162,0.107,5223,1683,1,0,17,7.668561459,6.551081657,-6.907755375,-6.907755375,-1.814005136,-2.225624084,8.560827255,7.428333759
Morocco,2018,2300,780,0,0,0.164,0.105,5438,1824,1,0,17,7.740664959,6.659295082,-6.907755375,-6.907755375,-1.801809788,-2.244316101,8.601166725,7.508787632
Morocco,2019,2460,860,0,0,0.166,0.103,5664,2012,1,0,17,7.807917118,6.756933689,-6.907755375,-6.907755375,-1.789761424,-2.263364315,8.641885757,7.606884956
Morocco,2020,2620,940,0,0,0.158,0.101,4961,1423,1,0,17,7.870930195,6.845880985,-6.907755375,-6.907755375,-1.838851094,-2.282782555,8.509363174,7.260523319
Morocco,2021,2780,1020,381,100,0.161,0.099,5258,1638,1,0,17,7.930206776,6.927558899,5.942801952,4.605180264,-1.820158958,-2.302585125,8.567505836,7.401231766
Morocco,2022,2940,1100,0,0,0.163,0.097,5559,1821,1,0,17,7.986165047,7.00306654,-6.907755375,-6.907755375,-1.807888865,-2.322787762,8.623173714,7.50714159
Mozambique,2015,0,0,0,0,0.077,0.114,724,1142,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.551046371,-2.1628232,6.584792614,7.040537357
Mozambique,2016,0,0,0,0,0.072,0.092,658,923,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.617295742,-2.375155687,6.489206314,6.82763052
Mozambique,2017,0,0,0,0,0.067,0.075,602,784,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.688247681,-2.577021837,6.400259018,6.664410114
Mozambique,2018,0,0,0,0,0.071,0.061,559,621,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.631089211,-2.780620813,6.326151371,6.431332588
Mozambique,2019,0,0,0,0,0.074,0.05,525,482,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.590267181,-2.975929737,6.263400078,6.177946091
Mozambique,2020,0,0,0,0,0.072,0.042,398,342,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.617295742,-3.146555185,5.986454487,5.834813595
Mozambique,2021,0,0,0,0,0.078,0.035,473,423,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.538307428,-3.324236393,6.159097672,6.047374725
Mozambique,2022,0,0,0,0,0.08,0.029,548,512,0,1,18,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.513306141,-3.506557941,6.306277275,6.23832655
Netherlands,2015,3800,1140,2299,1957,0.155,0.432,59572,46300,1,0,19,8.242756844,7.038784504,7.740230083,7.57916832,-1.857899308,-0.837017536,10.99494076,10.74289703
Netherlands,2016,4200,1260,1999,1707,0.158,0.398,58231,38700,1,0,19,8.342840195,7.138867855,7.600402832,7.442493439,-1.838851094,-0.918793857,10.97217274,10.56359482
Netherlands,2017,4600,1380,1851,1459,0.161,0.371,60342,35100,1,0,19,8.433812141,7.229839325,7.523481846,7.285507202,-1.820158958,-0.988861442,11.00778389,10.46595669
Netherlands,2018,5000,1500,2733,2432,0.164,0.35,62123,33200,1,0,19,8.517193794,7.313220978,7.913155556,7.796469688,-1.801809788,-1.046969056,11.03687191,10.41030502
Netherlands,2019,5400,1620,4564,2873,0.167,0.326,60213,29400,1,0,19,8.594154358,7.390182018,8.425954819,7.963112354,-1.783791304,-1.11779511,11.00564384,10.28874969
Netherlands,2020,5800,1740,28112,4544,0.162,0.305,52341,21200,1,0,19,8.665613174,7.461640835,10.2439518,8.421563148,-1.814005136,-1.184170127,10.86553574,9.961756706
Netherlands,2021,6200,1860,11141,4906,0.165,0.284,56782,27800,1,0,19,8.732304573,7.528332233,9.318387032,8.498214722,-1.795767546,-1.25526607,10.94697475,10.23279095
Netherlands,2022,6600,1980,6201,3413,0.168,0.262,61123,32100,1,0,19,8.794825554,7.590852737,8.732465744,8.135347366,-1.777856588,-1.335601211,11.02064323,10.37661171
Nigeria,2015,3500,1050,0,0,0.112,0.093,3407,1214,1,0,20,8.160518646,6.956546307,-6.907755375,-6.907755375,-2.18036747,-2.364460468,8.133587837,7.101676941
Nigeria,2016,3800,1140,0,0,0.098,0.085,3122,884,1,0,20,8.242756844,7.038784504,-6.907755375,-6.907755375,-2.312635422,-2.453408003,8.046229362,6.78445816
Nigeria,2017,4100,1230,150,0,0.104,0.078,2798,576,1,0,20,8.318742752,7.114770412,5.010642052,-6.907755375,-2.253794909,-2.538307428,7.93666029,6.356109619
Nigeria,2018,4400,1320,0,0,0.113,0.072,2543,519,1,0,20,8.389360428,7.185387611,-6.907755375,-6.907755375,-2.17155695,-2.617295742,7.841100216,6.251905918
Nigeria,2019,4700,1410,145,0,0.124,0.067,2321,534,1,0,20,8.455318451,7.251345634,4.976740837,-6.907755375,-2.079441547,-2.688247681,7.749753952,6.280397892
Nigeria,2020,5000,1500,81.2,0,0.149,0.056,1847,371,1,0,20,8.517193794,7.313220978,4.396927357,-6.907755375,-1.897119999,-2.864703894,7.521318436,5.916204929
Nigeria,2021,5300,1590,125,0,0.142,0.052,2102,392,1,0,20,8.575462341,7.371490002,4.828321934,-6.907755375,-1.944910645,-2.937463284,7.650645256,5.971264362
Nigeria,2022,5600,1680,100,0,0.1359,0.048,2356,423,1,0,20,8.630521774,7.426549435,4.605180264,-6.907755375,-1.988504529,-3.015934944,7.764720917,6.047374725
Rwanda,2015,265,110,0,0,0.075,0.171,296.3,72,1,0,21,5.579733372,4.700489521,-6.907755375,-6.907755375,-2.577021837,-1.76026082,5.691375732,4.276679993
Rwanda,2016,320,126,0,0,0.08,0.179,352.7,82,1,0,21,5.768323898,4.836289883,-6.907755375,-6.907755375,-2.513306141,-1.71479845,5.865620613,4.406731606
Rwanda,2017,410,155,150,0,0.082,0.192,403.8,101,1,0,21,6.016159534,5.043431759,5.010642052,-6.907755375,-2.488914728,-1.645065069,6.000922203,4.615130424
Rwanda,2018,530,196,0,0,0.085,0.194,451.8,123,1,0,21,6.272879124,5.278119564,-6.907755375,-6.907755375,-2.453408003,-1.634755731,6.113241673,4.81219244
Rwanda,2019,680,253,0,0,0.09,0.182,503.9,154,1,0,21,6.52209425,5.533393383,-6.907755375,-6.907755375,-2.396895885,-1.698269129,6.222379684,5.036959171
Rwanda,2020,860,326,0,0,0.08,0.161,393.4,98,1,0,21,6.756933689,5.78690052,-6.907755375,-6.907755375,-2.513306141,-1.820158958,5.974829674,4.584977627
Rwanda,2021,1070,421,0,0,0.09,0.143,465.4,124,1,0,21,6.975414753,6.042635441,-6.907755375,-6.907755375,-2.396895885,-1.937942028,6.142899513,4.820289612
Rwanda,2022,1310,538,0,0,0.099068,0.138,527.4,142,1,0,21,7.177783012,6.287860394,-6.907755375,-6.907755375,-2.301905394,-1.973281384,6.267961025,4.955833912
Senegal,2015,800,240,0,0,0.144,0.055,625.5,287,1,0,22,6.684612751,5.480643272,-6.907755375,-6.907755375,-1.931021571,-2.882403612,6.438552856,5.659485817
