Country,Year,PPP_T,PPP_I,GB_T,GB_I,MIVA,DCM,GFCFM,MFDI,treated,control,country_num,ln_PPP_T,ln_PPP_I,ln_GB_T,ln_GB_I,ln_MIVA,ln_DCM,ln_GFCFM,ln_MFDI
South Sudan,2018,0,0,0,0,0.032,0.023,123,18,0,1,26,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.41124773,-3.729701519,4.81219244,2.890427351
South Sudan,2019,0,0,0,0,0.028,0.02,102,14,0,1,26,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.540459394,-3.863232851,4.624982834,2.639128685
South Sudan,2020,0,0,0,0,0.024,0.017,74,10,0,1,26,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.68887949,-4.017383575,4.304078579,2.302685022
South Sudan,2021,0,0,0,0,0.025,0.014,93,12,0,1,26,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.64965868,-4.199705124,4.532610416,2.484989882
South Sudan,2022,0,0,0,0,0.023,0.011,112,15,0,1,26,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-3.729701519,-4.422848701,4.718507767,2.70811677
Sudan,2015,0,0,0,0,0.092,0.084,1823,254,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.375155687,-2.465104103,7.508239269,5.537338257
Sudan,2016,0,0,0,0,0.079,0.078,1538,182,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.525728703,-2.538307428,7.338238716,5.204012394
Sudan,2017,0,0,0,0,0.072,0.072,1274,143,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.617295742,-2.617295742,7.149917603,4.962851524
Sudan,2018,0,0,0,0,0.067,0.066,1062,121,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.688247681,-2.703062773,6.96791029,4.795798779
Sudan,2019,0,0,0,0,0.064,0.06,902,92,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.73336792,-2.796881437,6.804615498,4.521799564
Sudan,2020,0,0,0,0,0.058,0.054,683,54,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.830217838,-2.900422096,6.52649641,3.989002466
Sudan,2021,0,0,0,0,0.053,0.048,827,62,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.918771267,-3.015934944,6.717805862,4.127150536
Sudan,2022,0,0,0,0,0.049,0.042,971,74,0,1,27,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.995732307,-3.146555185,6.87832737,4.304078579
USA,2015,23500,6200,37500,13400,0.123,0.146,504300,236400,1,0,28,10.06475544,8.732304573,10.53209591,9.503009796,-2.087473631,-1.917322636,13.13092709,12.37328053
USA,2016,27200,7500,47200,31800,0.12,0.138,472500,209600,1,0,28,10.21097183,8.922657967,10.76214886,10.36722183,-2.111964703,-1.973281384,13.06579304,12.25295639
USA,2017,32100,8900,57300,44900,0.119,0.132,463400,192700,1,0,28,10.37661171,9.093806267,10.95605564,10.71219349,-2.120263577,-2.017406225,13.04634571,12.16889
USA,2018,38400,10400,65800,53900,0.117,0.126,432100,181400,1,0,28,10.55581284,9.24956131,11.09437466,10.89488602,-2.137070656,-2.063568115,12.97641277,12.10845947
USA,2019,45300,12300,81700,77200,0.115,0.121,415300,159300,1,0,28,10.72106266,9.417354584,11.31080914,11.25415516,-2.15416503,-2.103734255,12.93675613,11.97854424
USA,2020,53200,14200,106600,102400,0.109,0.115,342800,126600,1,0,28,10.881814,9.560997009,11.57683849,11.53664207,-2.207274914,-2.15416503,12.74490261,11.74878788
USA,2021,62100,16100,156700,141500,0.11,0.11,394200,147100,1,0,28,11.03650093,9.686574936,11.96208858,11.86005497,-2.198225021,-2.198225021,12.88461399,11.89886761
USA,2022,72000,18000,93100,68600,0.111,0.104,421900,169400,1,0,28,11.18442154,9.798127174,11.44142914,11.13604736,-2.18925643,-2.253794909,12.95252323,12.04001808
United Kingdom,2015,42400,16960,2726,2216,0.102,0.734,110500,39700,1,0,29,10.65490341,9.738613129,7.910591125,7.703459263,-2.273026228,-0.307884783,11.61277103,10.58910656
United Kingdom,2016,46300,18520,3889,3548,0.103,0.692,103700,37200,1,0,29,10.74289703,9.82660675,8.265907288,8.174139977,-2.263364315,-0.366725266,11.54925728,10.52406406
United Kingdom,2017,51100,20440,5256,4923,0.104,0.655,106500,32400,1,0,29,10.84153938,9.9252491,8.56712532,8.501673698,-2.253794909,-0.421594501,11.57590008,10.38591385
United Kingdom,2018,56900,22760,8128,1614,0.103,0.623,104300,28100,1,0,29,10.9490509,10.03275967,9.003069878,7.386471272,-2.263364315,-0.471604913,11.55502701,10.24352455
