"Variable","Treated_Mean","Treated_SD","Control_Mean","Control_SD","Std_Difference","Variance_Ratio","T_Test_P","KS_Test_P","Balanced_Mean","Balanced_Var","Overall_Balance"
"ln_PPP_I","7.848","1.918","-6.908","0.000","10.882","Inf","0.000","0.000","No","No","No"
"ln_GB_I","0.797","7.623","-6.908","0.000","1.429","Inf","0.000","0.000","No","No","No"
"Year","2018.500","2.298","2018.500","2.304","0.000","0.995","1.000","1.000","Yes","Yes","Yes"
"country_num","13.550","8.521","20.455","8.016","-0.835","1.130","0.000","0.000","No","Yes","No"
