Target,Best_Method,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper,MSE,MAE,RMSE,CV_MSE,CV_MAE
ln_MIVA,DML (Random Forest),0.352537021,0.209848646,0.092965386,-0.058766325,0.763840366,0.007712013,0.059622272,0.087818065,0.007712013,0.059622272
ln_DCM,DML (Random Forest),-0.637904688,48.43020604,0.989490865,-95.56110852,94.28529915,0.044961944,0.1502063,0.212042317,0.044961944,0.1502063
ln_GFCFM,DML (Random Forest),-3.050200043,1.533349547,0.046674734,-6.055565156,-0.04483493,0.094790739,0.20010426,0.307881047,0.094790739,0.20010426
ln_MFDI,DML (Random Forest),0.598565112,0.636778753,0.347223131,-0.649521243,1.846651467,0.036410737,0.134688851,0.190815976,0.036410737,0.134688851
