"Year","treated","N_countries","ln_MIVA_mean","ln_MIVA_sd","ln_DCM_mean","ln_DCM_sd","ln_GFCFM_mean","ln_GFCFM_sd","ln_MFDI_mean","ln_MFDI_sd","PPP_T_mean","GB_T_mean"
2015,0,11,-2.70337799445455,0.626165377859478,-2.90936526381818,0.697903615264385,5.78511194745455,1.29240466668041,4.67652401054545,1.14408777210615,0,0
2015,1,20,-1.983016026,0.317300454960434,-1.68542266115,0.808725809997795,9.99597217985,2.7426968039642,8.46351559145,2.53102320301638,15665.75,6861.35
2016,0,11,-2.76869993854545,0.627777554765048,-3.00060796718182,0.611448106672446,5.63303572472727,1.28803913124877,4.40433014527273,1.16636749434251,0,0
2016,1,20,-2.00775327685,0.324208826107902,-1.729905577,0.794373441266463,9.98331024725,2.70508754669819,8.5103776695,2.52566769790712,17877.8,7499.85
2017,0,11,-2.83532569618182,0.633182918848421,-3.10007407436364,0.577564918603029,5.47808861727273,1.28307153345211,4.13676660709091,1.21557636238138,0,0
2017,1,20,-2.0303131878,0.345473772273294,-1.7735331625,0.784317534764631,9.99329056815,2.69715557852988,8.44668242905,2.52613153815196,20792.1,9074
2018,0,11,-2.88754025372727,0.633984718428459,-3.19523583754545,0.579252584157293,5.338797656,1.27725463527271,3.88769182309091,1.23229046391071,0,0
2018,1,20,-2.0341482818,0.347382190787485,-1.8195480689,0.785611600378296,10.0107906813,2.69102724444796,8.43061463805,2.5080044909997,24352.9,11031.55
2019,0,11,-2.939318505,0.641949796415731,-3.294287248,0.624791267453366,5.21813136890909,1.262511279655,3.60798077145455,1.24848389586277,0,0
2019,1,20,-2.02867809525,0.340815925282903,-1.8670604304,0.78439147895562,10.01246902985,2.67894567734586,8.4069574598,2.46919784040211,28420.2,16512.45
2020,0,11,-3.01643776890909,0.657143148382656,-3.41496229172727,0.71878512730164,4.93358098372727,1.27186710093987,3.27567334609091,1.22430314329076,0,0
2020,1,20,-2.0517868101,0.364459906036307,-1.9307648406,0.792093549969291,9.8550905944,2.69843663834768,8.10843026655,2.55067821081731,32884,21233.21
2021,0,11,-3.10669337609091,0.694816614853765,-3.55897298718182,0.867513323030767,5.13192406563636,1.2543342070596,3.474969864,1.22501595081822,0,0
2021,1,20,-2.03917843095,0.350414500438632,-1.971392426,0.774335693276102,9.9561202756,2.69253298532276,8.24184949455,2.55250765642469,37899.3,29152.05
2022,0,11,-3.20704843772727,0.731457611378274,-3.79777823781818,1.18308831172654,5.29689639263636,1.24270666251188,3.66365978945455,1.22517394240929,0,0
2022,1,20,-2.0159812092,0.33758435064704,-2.01459316615,0.762025178131719,10.039589429,2.68271223884076,8.3488348719,2.53990089548682,43301.1,18647.4
