"","ln_MIVA","ln_DCM","ln_GFCFM","ln_MFDI","ln_PPP_I","ln_GB_I","PPP_T","GB_T"
"ln_MIVA",1,0.717353181755528,0.718686354985315,0.691547218548148,0.686969860038906,0.473321138667289,0.397877075780306,0.346437745448178
"ln_DCM",0.717353181755528,1,0.782358568383785,0.778931120720565,0.719591714812343,0.686059446750603,0.549804659681124,0.380579213550628
"ln_GFCFM",0.718686354985315,0.782358568383785,1,0.959007397787028,0.811577615811426,0.844003045369228,0.711121962054533,0.591861899351213
"ln_MFDI",0.691547218548148,0.778931120720565,0.959007397787028,1,0.807440027451545,0.842232840360651,0.652466420094328,0.555663310203704
"ln_PPP_I",0.686969860038906,0.719591714812343,0.811577615811426,0.807440027451545,1,0.651246942080189,0.516356593640094,0.368144374817283
"ln_GB_I",0.473321138667289,0.686059446750603,0.844003045369228,0.842232840360651,0.651246942080189,1,0.675024092998834,0.565261440466077
"PPP_T",0.397877075780306,0.549804659681124,0.711121962054533,0.652466420094328,0.516356593640094,0.675024092998834,1,0.61693277376443
"GB_T",0.346437745448178,0.380579213550628,0.591861899351213,0.555663310203704,0.368144374817283,0.565261440466077,0.61693277376443,1
